Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
"Student to Professor: Ionel is in his professor's office, asking for help with his thesis.","Ați putea să-mi recomandați niște cărți pentru capitolul 3, vă rog?","Poți să-mi recomanzi niște cărți pentru capitolul 3, te rog?","A","Politeness","Education","Student->Professor"
"Professor to Student: A professor is advising a student to use more formal language in their written work.","Te rog să folosești un registru mai academic în lucrare.","Vă rog să folosiți un registru mai academic în lucrare.","A","Politeness","Education","Professor->Student"
"Citizen to Clerk: Maria is at the city hall and needs to get a new ID card.","V-aș ruga să-mi spuneți ce documente îmi trebuie pentru buletin.","Spune-mi ce documente îmi trebuie pentru buletin.","A","Politeness","Administration","Citizen->Clerk"
"Clerk to Citizen: A clerk is asking a citizen for an official document.","Trebuie să-mi arăți un act de identitate.","Ați putea să-mi arătați un act de identitate?","B","Politeness","Administration","Clerk->Citizen"
"Customer to Waiter: A customer is ordering at a high-end restaurant.","Aș dori, vă rog, o porție de paste.","Vreau o porție de paste.","A","Politeness","Services","Customer->Waiter"
"Waiter to Customer: A waiter is checking if the customer enjoyed their meal.","Sper că ți-a plăcut mâncarea.","Sper că v-a plăcut mâncarea.","B","Politeness","Services","Waiter->Customer"
"Junior Employee to Manager: An employee is asking their manager for feedback on a report.","Mi-ați putea da feedback pe raportul pe care l-am trimis?","Poți să-mi dai feedback pe raportul pe care l-am trimis?","A","Politeness","Workplace","Junior->Manager"
"Manager to Junior Employee: A manager is asking their subordinate to complete a task.","Te rog să completezi tabelul până la sfârșitul zilei.","V-aș ruga să completați tabelul până la sfârșitul zilei.","B","Politeness","Workplace","Manager->Junior"
"Patient to Doctor: An elderly patient is describing their symptoms to a doctor.","Aș dori să vă întreb, de ce mă doare capul atât de tare?","De ce mă doare capul atât de tare?","A","Politeness","Healthcare","Patient->Medic"
"Doctor to Patient: A doctor is explaining the treatment plan to a patient.","Vă rog să luați aceste pastile de trei ori pe zi.","Ia aceste pastile de trei ori pe zi.","A","Politeness","Healthcare","Medic->Patient"
"Child to Parent: A child is asking their parent for a new toy.","Mama, aș putea să am o mașinuță nouă?","Mamă, vreau o mașinuță nouă!","A","Politeness","Family","Child->Parent"
"Parent to Child: A parent is telling their child to clean their room.","Poți să faci curat în cameră, te rog?","Puteți face curat în cameră, vă rog?","A","Politeness","Family","Parent->Child"
"Friend to Friend: Two friends are discussing plans for the weekend.","Ce zici să mergem la un film diseară?","Ce ziceți să mergem la un film diseară?","A","Politeness","Friends","Friend->Friend"
"Friend to Friend: One friend is asking another for a favor.","Ai putea să-mi împrumuți cartea aia?","Ați putea să-mi împrumutați cartea aia?","A","Politeness","Friends","Friend->Friend"
"Customer to Cashier: A customer is asking the cashier for a plastic bag.","Aș dori o pungă, vă rog.","Dă-mi o pungă.","A","Politeness","Commerce","Customer->Cashier"
"Cashier to Customer: The cashier is asking for the customer's loyalty card.","Vă rog să-mi dați cardul de fidelitate.","Dă-mi cardul de fidelitate.","A","Politeness","Commerce","Cashier->Customer"
"Guest to Host at a Formal Event: A guest is asking for directions to the restroom.","Ați putea să-mi indicați unde este toaleta?","Unde-i toaleta?","A","Politeness","Formal Event","Guest->Host"
"Host to Guest at a Formal Event: The host is offering a guest a drink.","Vrei un pahar de șampanie?","Doriți un pahar de șampanie?","B","Politeness","Formal Event","Host->Guest"
"Teacher to Student: A teacher is asking a student to explain their answer.","Aș dori să-mi explici raționamentul tău.","Explica-mi raționamentul tău.","A","Politeness","Education","Teacher->Student"
"Student to Teacher: A student is asking if they can leave the class early.","M-aș întreba dacă aș putea pleca mai devreme.","Pot să plec mai devreme?","A","Politeness","Education","Student->Teacher"
"Librarian to Student: A librarian is telling a student to be quiet.","Vă rog să păstrați liniștea în bibliotecă.","Fă liniște în bibliotecă.","A","Politeness","Education","Librarian->Student"
"New Employee to Senior Colleague: A new employee is asking for help with a task.","Aș avea o rugăminte. M-ați putea ajuta cu asta?","Ajută-mă, te rog, cu asta.","A","Politeness","Workplace","Junior->Senior"
"Manager to Team: A manager is announcing a new project.","V-aș ruga să vă familiarizați cu noul proiect.","Familiarizați-vă cu noul proiect.","A","Politeness","Workplace","Manager->Team"
